Model,YYYY/MM/DD,HH:MM:SS,UnixTime,Baseline,CO2,A0,Fig1,Fig2,e2v03,e2vNO2,e2v1,e2v2,e2v3,e2v4,Temp,Rh,BaroT,BaroP,Lat,N/S,Lon,E/W,C0,C1,C2,C3,C4,C5,C6,C7,Ba1,Ba2,Ba3,Ba4,Bb1,Bb2,Bb3,Bb4,Bc1,Bc2,Bc3,Bc4,Wind
UPODS1,2016.10.24,0:0:22,1477267222,285,176,203,51,32,59,31,0,0,0,0,-99.50,-99.50,28.70,98684.00,3411.93761,1,11831.96739,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1765.63,-3156.25,-12000.00,12062.50,984.38,937.50,265.63,-625.00,0
UPODS1,2016.10.24,0:0:39,1477267239,287,176,202,51,32,59,33,0,0,0,0, 29.90, 18.10,28.70,98672.00,3411.93798,1,11831.96727,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1765.63,-3187.50,-12031.25,12265.62,875.00,984.38,140.63,-578.13,0
UPODS1,2016.10.24,0:0:56,1477267256,286,175,204,51,32,60,34,0,0,0,0, 29.90, 18.70,28.70,98681.00,3411.94067,1,11831.96716,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1703.13,-3140.62,-11968.75,12343.75,968.75,1031.25,281.25,-453.13,0
UPODS1,2016.10.24,0:1:14,1477267274,285,175,204,51,32,60,34,0,0,0,0, 29.90, 18.70,28.70,98678.00,3411.94066,1,11831.96711,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1781.25,-3140.62,-11984.37,12265.62,890.63,984.38,203.13,-468.75,0
UPODS1,2016.10.24,0:1:31,1477267291,287,175,204,51,32,60,33,0,0,0,0, 29.90, 18.70,28.70,98681.00,3411.94310,1,11831.96676,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1703.13,-3140.62,-12140.62,12156.25,937.50,1031.25,171.88,-515.63,0
UPODS1,2016.10.24,0:1:49,1477267309,288,177,204,51,32,60,32,0,0,0,0, 29.90, 18.80,28.70,98681.00,3411.94204,1,11831.96661,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1812.50,-3031.25,-12015.62,11906.25,906.25,1062.50,265.63,-468.75,0
UPODS1,2016.10.24,0:2:8,1477267328,285,178,205,51,32,60,31,0,0,0,0, 29.90, 18.70,28.70,98678.00,3411.94258,1,11831.96625,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1750.00,-3015.62,-12046.87,11812.50,968.75,1015.63,171.88,-500.00,0
UPODS1,2016.10.24,0:2:25,1477267345,285,176,206,51,32,60,30,0,0,0,0, 29.90, 18.70,28.70,98681.00,3411.94121,1,11831.96644,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1843.75,-3000.00,-12078.12,11656.25,921.88,1078.13,234.38,-609.38,0
UPODS1,2016.10.24,0:2:43,1477267363,285,176,204,51,32,60,29,0,0,0,0, 29.80, 18.70,28.60,98663.00,3411.94233,1,11831.96596,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1750.00,-2937.50,-12140.62,11437.50,953.13,1093.75,250.00,-687.50,0
UPODS1,2016.10.24,0:3:1,1477267381,286,178,204,51,32,59,29,0,0,0,0, 29.90, 18.70,28.60,98681.00,3411.94422,1,11831.96577,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1765.63,-3015.62,-12187.50,11421.87,890.63,1015.63,265.63,-531.25,0
UPODS1,2016.10.24,0:3:19,1477267399,286,176,204,51,32,59,29,0,0,0,0, 29.90, 18.70,28.60,98669.00,3411.94386,1,11831.96575,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1796.88,-2984.37,-12125.00,11484.37,890.63,1031.25,203.13,-593.75,0
UPODS1,2016.10.24,0:3:37,1477267417,286,179,205,51,32,59,29,0,0,0,0, 29.80, 18.70,28.60,98678.00,3411.94071,1,11831.96634,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1781.25,-2968.75,-12000.00,11421.87,750.00,906.25,312.50,-578.13,0
UPODS1,2016.10.24,0:3:55,1477267435,287,177,206,51,32,59,30,0,0,0,0, 29.80, 18.70,28.60,98663.00,3411.94182,1,11831.96669,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1765.63,-2968.75,-12015.62,11343.75,1062.50,1218.75,265.63,-578.13,0
UPODS1,2016.10.24,0:4:14,1477267454,288,176,205,51,32,59,30,0,0,0,0, 29.80, 18.70,28.60,98669.00,3411.94396,1,11831.96639,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1750.00,-2890.62,-12015.62,11500.00,1031.25,1000.00,171.88,-500.00,0
UPODS1,2016.10.24,0:4:32,1477267472,288,176,204,51,32,59,30,0,0,0,0, 29.80, 18.70,28.60,98666.00,3411.94402,1,11831.96622,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1781.25,-2812.50,-12125.00,11468.75,968.75,1000.00,234.38,-515.63,0
UPODS1,2016.10.24,0:4:49,1477267489,288,179,204,51,32,59,28,0,0,0,0, 29.90, 18.60,28.60,98660.00,3411.94381,1,11831.96611,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1781.25,-2796.87,-12140.62,11234.37,1046.88,1140.63,234.38,-578.13,0
UPODS1,2016.10.24,0:5:7,1477267507,287,179,206,51,32,59,28,0,0,0,0, 29.80, 18.60,28.60,98663.00,3411.94546,1,11831.96594,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1812.50,-2796.87,-12218.75,11312.50,984.38,1015.63,281.25,-687.50,0
