PodName,TimeZoneDeployed,Start,End,Location ,ReferenceFile
UPODS3,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS5,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB2,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB3,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB4,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB5,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB6,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS1,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS2,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB7,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB8,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB9,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC1,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC3,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC4,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC6,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC7,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC9,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC3,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODD1,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODD2,-8,10/19/16 12:00,10/30/16 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS3,-8,10/31/16 0:00,2/12/17 0:00,NorthMain,NA
UPODS5,-8,10/31/16 0:00,2/12/17 0:00,NorthMain,NA
YPODB2,-8,10/31/16 0:00,2/12/17 0:00,NorthMain,NA
YPODB3,-8,10/31/16 0:00,2/12/17 0:00,NorthMain,NA
UPODS3,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS5,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB2,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB3,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB4,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB5,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB6,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS1,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
UPODS2,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB7,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB8,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODB9,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC1,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC3,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC4,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC6,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC7,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC9,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODC3,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODD1,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
YPODD2,-8,2/13/17 0:00,2/25/17 0:00,NorthMain,CH4_OctFeb_minute.csv
